ville;date;temperature_min;heure_min;temperature_max;heure_max;unite
New York;2026-09-15;61;04:51:00;72;13:51:00;°F
Londres;2026-09-15;17;07:50:00;23;12:50:00;°C
Paris;2026-09-15;16;07:30:00;33;16:00:00;°C
Madrid;2026-09-15;15;07:30:00;36;17:00:00;°C
Milan;2026-09-15;19;05:50:00;27;14:20:00;°C
Munich;2026-09-15;8;05:50:00;24;13:50:00;°C
Amsterdam;2026-09-15;16;23:25:00;25;13:25:00;°C
Varsovie;2026-09-15;12;02:30:00;20;16:00:00;°C
Helsinski;2026-09-15;2;03:20:00;17;14:50:00;°C
Miami;2026-09-15;81;01:53:00;92;13:53:00;°F
Austin;2026-09-15;78;05:53:00;102;15:53:00;°F
Atlanta;2026-09-15;75;06:52:00;90;15:52:00;°F
Denver;2026-09-15;54;05:58:00;72;15:58:00;°F
Dallas;2026-09-15;81;07:53:00;99;14:53:00;°F
Los Angeles;2026-09-15;69;01:53:00;80;13:53:00;°F
Chicago;2026-09-15;67;08:51:00;84;14:51:00;°F
Houston;2026-09-15;79;05:53:00;94;14:53:00;°F
San Francisco;2026-09-15;57;04:56:00;72;13:56:00;°F
Seattle;2026-09-15;55;00:53:00;67;15:53:00;°F
Tokyo;2026-09-15;23;23:30:00;28;12:30:00;°C
Seoul;2026-09-15;16;06:00:00;24;11:30:00;°C
